FAC_DERIVED_CB2010,CWA Violations,CAA Violations,RCRA Violations,SDWA Violations,CWA Inspections,CAA Inspections,RCRA Inspections,SDWA Inspections,Facilities,FAC_NAICS_CODES,Total Violations Since 2001,Violations Per Facility Since 2001,Total Inspections Since 2001,Inspections Per Facility Since 2001
13063040417,0.0,1.0,11.0,0.0,1.0,54.0,19.0,0.0,1,325510 44412,12.0,12.0,74.0,74.0
13063040608,1.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,1,221320 999999,1.0,1.0,16.0,16.0
13063040611,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1,999999 331316 332321 332323,0.0,0.0,4.0,4.0
13063040619,31.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1,221320 22132,31.0,31.0,9.0,9.0
13063980000,0.0,3.0,25.0,0.0,1.0,76.0,75.0,0.0,3,999999 48819 488119 221112 481111 481111 481112,28.0,9.333333333333334,152.0,50.666666666666664
13065970100,22.0,6.0,16.0,0.0,39.0,60.0,24.0,0.0,2,332431 332812 332439 999999,44.0,22.0,123.0,61.5
13065970200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,321113,0.0,0.0,0.0,0.0
13067030103,25.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1,221320,25.0,25.0,23.0,23.0
13067030310,24.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1,22132 999999 221320 48411,24.0,24.0,21.0,21.0
13067030502,0.0,1.0,16.0,0.0,0.0,95.0,28.0,0.0,1,332812,17.0,17.0,123.0,123.0
13067031001,58.0,1.0,23.0,0.0,19.0,68.0,51.0,0.0,1,336411 928110,82.0,82.0,138.0,138.0
13067031205,10.0,1.0,0.0,0.0,34.0,148.0,0.0,0.0,2,221112 999999 221320 22132 48411,11.0,5.5,182.0,91.0
13067031206,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,1,327121 327120,1.0,1.0,36.0,36.0
13067031311,57.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,2,22132 999999 48411 999999,57.0,28.5,45.0,22.5
13067031405,9.0,0.0,3.0,0.0,6.0,121.0,14.0,0.0,2,424710 42471 486910 48691,12.0,6.0,141.0,70.5
13067031409,6.0,1.0,0.0,0.0,4.0,98.0,1.0,0.0,1,322130,7.0,7.0,103.0,103.0
13069010300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,311613,0.0,0.0,0.0,0.0
13069010700,0.0,2.0,1.0,0.0,0.0,18.0,2.0,0.0,1,336612,3.0,3.0,20.0,20.0
13069010802,195.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1,221320,195.0,195.0,65.0,65.0
13071970400,0.0,3.0,0.0,0.0,0.0,42.0,0.0,0.0,1,321113 321999,3.0,3.0,42.0,42.0
13071970600,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,332431 999999,0.0,0.0,2.0,2.0
13071970800,608.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,1,nan,608.0,608.0,37.0,37.0
13073030102,19.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1,nan,19.0,19.0,12.0,12.0
13073030103,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,1,323111 999999 323110,0.0,0.0,155.0,155.0
13073030306,32.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1,nan,32.0,32.0,15.0,15.0
13073030308,8.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1,nan,8.0,8.0,30.0,30.0
13073030505,0.0,9.0,2.0,0.0,0.0,54.0,5.0,0.0,1,331511 333911,11.0,11.0,59.0,59.0
13073030506,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,221320,5.0,5.0,0.0,0.0
13075960300,138.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,22132,138.0,138.0,18.0,18.0
13075960400,1.0,4.0,0.0,0.0,29.0,37.0,0.0,0.0,4,321219 999999 999999 321999,5.0,1.25,66.0,16.5
13077170100,3.0,0.0,0.0,0.0,9.0,108.0,1.0,0.0,1,221112,3.0,3.0,118.0,118.0
13077170305,27.0,0.0,0.0,0.0,18.0,41.0,4.0,0.0,2,332420 332313 33242 333414 221320,27.0,13.5,63.0,31.5
13077170306,0.0,1.0,5.0,0.0,0.0,61.0,16.0,0.0,1,336999,6.0,6.0,77.0,77.0
13077170503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,237110,0.0,0.0,0.0,0.0
13077170602,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,999999,0.0,0.0,4.0,4.0
13077170603,87.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1,nan,87.0,87.0,28.0,28.0
13077170700,3.0,1.0,59.0,0.0,5.0,74.0,59.0,0.0,1,331318 999999 331315 332323 331314 331316 332813,63.0,63.0,138.0,138.0
13081010100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13081010201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,327993,0.0,0.0,0.0,0.0
13081010202,125.0,5.0,0.0,0.0,18.0,136.0,0.0,0.0,3,321219 999999 321113 327211 221320,130.0,43.333333333333336,154.0,51.333333333333336
13081010300,0.0,2.0,12.0,0.0,0.0,24.0,23.0,0.0,2,326191 326199 332323 999999 332813,14.0,7.0,47.0,23.5
13081010500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13083040101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13087970200,25.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1,nan,25.0,25.0,16.0,16.0
13087970300,28.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1,nan,28.0,28.0,16.0,16.0
13087970400,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,2,221112 999999,0.0,0.0,61.0,30.5
13087970800,24.0,1.0,0.0,0.0,17.0,53.0,4.0,0.0,2,327992 325311 211112 331311 331419 999999,25.0,12.5,74.0,37.0
13089021204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,323121 323119,1.0,1.0,0.0,0.0
13089021301,0.0,0.0,34.0,0.0,0.0,15.0,85.0,0.0,2,336111 237210 336112 562211,34.0,17.0,100.0,50.0
13089021306,1.0,1.0,0.0,0.0,1.0,530.0,8.0,0.0,9,42471 999999 424710 49319 424710 42471 424710 42471 999999 493190 49319 424710 42471 424710 42471 49319 493190 493190 49319 999999 424710 493190 49319,2.0,0.2222222222222222,539.0,59.888888888888886
13089021409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,326199 999999 326191,0.0,0.0,0.0,0.0
13089021704,0.0,0.0,5.0,0.0,0.0,15.0,13.0,0.0,1,335931,5.0,5.0,28.0,28.0
13089021806,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,11111 999999,0.0,0.0,1.0,1.0
13089021910,0.0,1.0,0.0,0.0,0.0,59.0,0.0,0.0,1,326140,1.0,1.0,59.0,59.0
13089021913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13089022100,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1,326220 32622,0.0,0.0,14.0,14.0
13089022203,0.0,1.0,4.0,0.0,0.0,56.0,3.0,0.0,1,326199,5.0,5.0,59.0,59.0
13089022402,0.0,7.0,8.0,0.0,0.0,180.0,9.0,0.0,3,923120 611310 611310 621111 999999 622110,15.0,5.0,189.0,63.0
13089023303,0.0,2.0,0.0,0.0,0.0,63.0,0.0,0.0,1,326140 32614,2.0,2.0,63.0,63.0
13089023306,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,221111,0.0,0.0,1.0,1.0
13089023313,0.0,2.0,0.0,0.0,0.0,66.0,0.0,0.0,1,326150 32615,2.0,2.0,66.0,66.0
13089023418,15.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1,22132,15.0,15.0,19.0,19.0
13089023422,0.0,4.0,0.0,0.0,0.0,77.0,0.0,0.0,1,562212,4.0,4.0,77.0,77.0
13089023423,0.0,15.0,20.0,0.0,0.0,136.0,44.0,0.0,4,325320 325998 3251 562212 221119 999999 221210 562213,35.0,8.75,180.0,45.0
13089023425,27.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1,999999,27.0,27.0,38.0,38.0
13089023802,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1,221320,0.0,0.0,11.0,11.0
13091960300,13.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,nan,13.0,13.0,18.0,18.0
13093970300,0.0,3.0,0.0,0.0,0.0,89.0,0.0,0.0,2,31122 999999 311223 325211 321219 325199 325191,3.0,1.5,89.0,44.5
13095001403,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,nan,0.0,0.0,5.0,5.0
13095010403,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1,324121 999999,0.0,0.0,10.0,10.0
13095010602,22.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1,22132 221320,22.0,22.0,35.0,35.0
13095010700,0.0,5.0,1.0,0.0,2.0,117.0,1.0,0.0,2,322291 999999 221117 221119 221112,6.0,3.0,120.0,60.0
13095010900,0.0,3.0,8.0,0.0,4.0,83.0,62.0,0.0,4,325411 32541 325412 486210 48621 999999 336322 339993 nan,11.0,2.75,149.0,37.25
13095011000,2.0,0.0,0.0,0.0,8.0,57.0,1.0,0.0,1,221112,2.0,2.0,66.0,66.0
13095011200,2.0,4.0,1.0,0.0,4.0,82.0,3.0,0.0,3,326211 312120 31212 722410 321113,7.0,2.3333333333333335,89.0,29.666666666666668
13095011300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13095011600,0.0,3.0,53.0,0.0,0.0,61.0,52.0,3.0,1,928110 332992 325510,56.0,56.0,116.0,116.0
13097080102,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,2,999999 322219,0.0,0.0,14.0,7.0
13097080301,0.0,0.0,86.0,0.0,1.0,0.0,49.0,0.0,1,42471,86.0,86.0,50.0,50.0
13097080509,23.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1,nan,23.0,23.0,9.0,9.0
13097080511,5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1,nan,5.0,5.0,14.0,14.0
13097080602,131.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,1,221320,131.0,131.0,44.0,44.0
13099090300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13099090400,353.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,nan,353.0,353.0,18.0,18.0
13099090500,26.0,7.0,3.0,0.0,14.0,165.0,8.0,0.0,2,331210 335932 332813 322130 32212 32213 322110 321212 999999 325191,36.0,18.0,187.0,93.5
13103030301,0.0,0.0,0.0,0.0,2.0,91.0,1.0,0.0,1,221112,0.0,0.0,94.0,94.0
13103030303,1.0,2.0,4.0,0.0,22.0,175.0,3.0,0.0,2,999999 336612 322121 322110 322291 32212,7.0,3.5,200.0,100.0
13103030305,197.0,0.0,0.0,0.0,39.0,168.0,0.0,0.0,4,221112 22111 nan 999999 nan,197.0,49.25,207.0,51.75
13103030401,0.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,1,321113 423310,1.0,1.0,52.0,52.0
13107970600,29.0,7.0,0.0,0.0,25.0,74.0,0.0,0.0,6,221320 22132 999999 221320 321999 321113 321113,36.0,6.0,99.0,16.5
13109970200,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,1,321113 999999,1.0,1.0,27.0,27.0
13111050400,42.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,221320,42.0,42.0,18.0,18.0
13113140208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13113140303,257.0,0.0,0.0,0.0,47.0,64.0,0.0,0.0,3,322222 322220 22132 999999 926130 nan,257.0,85.66666666666667,111.0,37.0
13113140305,47.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1,221320,47.0,47.0,13.0,13.0
13113140306,0.0,2.0,0.0,0.0,0.0,61.0,0.0,0.0,1,324122 32412 327215,2.0,2.0,61.0,61.0
13115000100,0.0,0.0,0.0,0.0,0.0,86.0,6.0,0.0,3,327122 327120 332431 332431,0.0,0.0,92.0,30.666666666666668
13115000201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13115000500,0.0,0.0,4.0,0.0,15.0,0.0,73.0,0.0,2,335311 221310 999999 999999,4.0,2.0,88.0,44.0
13115000600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999 325211,0.0,0.0,0.0,0.0
13115001400,48.0,14.0,2.0,0.0,79.0,411.0,7.0,0.0,6,56221 22132 321113 321912 327331 327120 322211 322130 322211 322110 321912 32213 321113 221112 326199,64.0,10.666666666666666,497.0,82.83333333333333
13115001800,0.0,4.0,7.0,0.0,0.0,103.0,13.0,0.0,2,323111 326140,11.0,5.5,116.0,58.0
13115002000,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1,326140,0.0,0.0,13.0,13.0
13115002100,59.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,1,22132 56221,59.0,59.0,46.0,46.0
13117130101,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,1,311613 311919 311225 311119,0.0,0.0,61.0,61.0
13117130102,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,999999,0.0,0.0,1.0,1.0
13117130201,0.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0,2,562212 221119 221210,1.0,0.5,54.0,27.0
13117130404,2.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1,nan,2.0,2.0,31.0,31.0
13117130601,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,221320,0.0,0.0,5.0,5.0
13117130609,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,221320,10.0,10.0,5.0,5.0
13117130610,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,221320,9.0,9.0,3.0,3.0
13119890101,91.0,1.0,0.0,0.0,20.0,37.0,5.0,0.0,2,336212 32551 221320,92.0,46.0,62.0,31.0
13119890200,13.0,2.0,0.0,0.0,11.0,22.0,0.0,0.0,1,221117 221119,15.0,15.0,33.0,33.0
13119890400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13121000700,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,999999,0.0,0.0,1.0,1.0
13121001002,0.0,5.0,0.0,0.0,0.0,73.0,0.0,0.0,1,611310,5.0,5.0,73.0,73.0
13121005800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13121006300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,32311 999999,0.0,0.0,1.0,1.0
13121006801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999 336111,0.0,0.0,0.0,0.0
13121007300,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1,999999,1.0,1.0,24.0,24.0
13121007805,5.0,4.0,1.0,0.0,23.0,120.0,15.0,0.0,5,324122 32412 326112 323110 999999 322223 332431 999999 331111 999999 221320 22132,10.0,2.0,158.0,31.6
13121008602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13121008700,0.0,1.0,0.0,0.0,0.0,90.0,3.0,0.0,3,424710 49319 493190 327121 999999,1.0,0.3333333333333333,93.0,31.0
13121008800,0.0,2.0,0.0,0.0,0.0,71.0,2.0,0.0,3,327310 32731 324199 999999 999999,2.0,0.6666666666666666,73.0,24.333333333333332
13121008902,0.0,1.0,0.0,0.0,1.0,49.0,0.0,0.0,2,323111 323110 999999 322212 322130,1.0,0.5,50.0,25.0
13121008903,35.0,9.0,0.0,0.0,31.0,88.0,0.0,0.0,1,221320 221310 22132,44.0,44.0,119.0,119.0
13121008904,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2,999999 221320,0.0,0.0,5.0,2.5
13121009102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999 332431,0.0,0.0,0.0,0.0
13121010301,52.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1,924110 999999 22132 221320,52.0,52.0,31.0,31.0
13121010303,0.0,0.0,15.0,0.0,0.0,12.0,61.0,0.0,2,999999 33331 326140 326199 32614 32619,15.0,7.5,73.0,36.5
13121010400,0.0,4.0,0.0,0.0,0.0,46.0,0.0,0.0,1,326191,4.0,4.0,46.0,46.0
13121010514,0.0,0.0,0.0,0.0,0.0,72.0,2.0,0.0,1,327993,0.0,0.0,74.0,74.0
13121010603,0.0,0.0,9.0,0.0,0.0,62.0,17.0,0.0,1,325510 325611 325998,9.0,9.0,79.0,79.0
13121011000,0.0,1.0,1.0,0.0,2.0,80.0,6.0,0.0,1,327213,2.0,2.0,88.0,88.0
13121011201,0.0,0.0,52.0,0.0,0.0,0.0,161.0,0.0,2,321114 999999 999999 562910,52.0,26.0,161.0,80.5
13121011306,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1,323110,0.0,0.0,20.0,20.0
13121011410,11.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1,nan,11.0,11.0,20.0,20.0
13121011422,100.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1,nan,100.0,100.0,42.0,42.0
13121011425,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1,nan,0.0,0.0,6.0,6.0
13121011622,17.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1,nan,17.0,17.0,9.0,9.0
13121011800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,337127 999999,0.0,0.0,0.0,0.0
13121011900,380.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1,221320,380.0,380.0,30.0,30.0
13121980000,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1,481111 481112,0.0,0.0,75.0,75.0
13123080300,37.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1,221320,37.0,37.0,30.0,30.0
13125010100,0.0,1.0,0.0,0.0,0.0,57.0,0.0,0.0,1,212324 212399,1.0,1.0,57.0,57.0
13127000300,46.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1,22132 221320,46.0,46.0,31.0,31.0
13127000401,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,999999,0.0,0.0,2.0,2.0
13127000404,0.0,1.0,2.0,0.0,0.0,54.0,3.0,0.0,1,321113 321114 32111,3.0,3.0,57.0,57.0
13127000501,58.0,16.0,110.0,0.0,18.0,144.0,97.0,0.0,1,325199 325191 325211 325194 325998 325193 32511,184.0,184.0,259.0,259.0
13127000600,6.0,0.0,0.0,0.0,12.0,74.0,4.0,0.0,1,221112,6.0,6.0,90.0,90.0
13127000700,1.0,7.0,5.0,0.0,24.0,102.0,4.0,2.0,2,325180 999999 325181 322110 32211 999999 325188,13.0,6.5,132.0,66.0
13127000800,28.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1,nan,28.0,28.0,68.0,68.0
13127000900,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1,327420 32742,0.0,0.0,30.0,30.0
13127001000,38.0,6.0,5.0,0.0,45.0,84.0,19.0,0.0,3,325199 325998 nan 999999 221320,49.0,16.333333333333332,148.0,49.333333333333336
13129970300,18.0,0.0,0.0,0.0,47.0,46.0,0.0,0.0,1,22131 22132 999999 221320,18.0,18.0,93.0,93.0
13129970700,0.0,3.0,4.0,0.0,0.0,42.0,12.0,0.0,1,325211 326199,7.0,7.0,54.0,54.0
13129970900,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,1,327992 331311,0.0,0.0,52.0,52.0
13131950500,36.0,0.0,3.0,0.0,11.0,56.0,2.0,0.0,2,336612 333912 333993 332991 221320,39.0,19.5,69.0,34.5
13133950200,0.0,0.0,1.0,0.0,0.0,19.0,3.0,0.0,1,326199 326191,1.0,1.0,22.0,22.0
13133950303,1.0,7.0,0.0,0.0,4.0,63.0,0.0,0.0,1,331314 331492,8.0,8.0,67.0,67.0
13135050103,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,3,562212 221119 221119,3.0,1.0,100.0,33.333333333333336
13135050106,38.0,4.0,1.0,0.0,46.0,62.0,1.0,0.0,3,326191 423390 nan nan,43.0,14.333333333333334,109.0,36.333333333333336
13135050309,0.0,0.0,54.0,0.0,1.0,0.0,70.0,0.0,1,562112 484220 484230,54.0,54.0,71.0,71.0
13135050310,32.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1,nan,32.0,32.0,24.0,24.0
13135050313,0.0,4.0,0.0,0.0,0.0,60.0,1.0,0.0,1,326199 326191,4.0,4.0,61.0,61.0
13135050415,0.0,1.0,10.0,0.0,0.0,55.0,21.0,0.0,1,332999,11.0,11.0,76.0,76.0
13135050435,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1,nan,0.0,0.0,6.0,6.0
13135050520,0.0,0.0,12.0,0.0,1.0,0.0,73.0,0.0,1,999999 31331 332813 33251 331523 331522,12.0,12.0,74.0,74.0
13135050533,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1,nan,0.0,0.0,8.0,8.0
13135050536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13135050712,4.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1,221320,4.0,4.0,29.0,29.0
13135050723,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,nan,2.0,2.0,5.0,5.0
13135050728,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,nan,0.0,0.0,4.0,4.0
13137000300,5.0,0.0,64.0,0.0,21.0,18.0,56.0,0.0,1,339993 332813,69.0,69.0,95.0,95.0
13137000400,0.0,0.0,34.0,0.0,0.0,0.0,32.0,0.0,1,45439,34.0,34.0,32.0,32.0
13137000500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13137000602,68.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1,221320,68.0,68.0,29.0,29.0
13139000400,26.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1,22132,26.0,26.0,15.0,15.0
13139000800,0.0,5.0,0.0,0.0,2.0,163.0,2.0,0.0,2,311224 311222 311225 313110 313111 31321,5.0,2.5,167.0,83.5
13139001002,48.0,1.0,0.0,0.0,36.0,48.0,0.0,0.0,2,326191 326199 327111 999999 22132 999999,49.0,24.5,84.0,42.0
13139001101,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1,nan,3.0,3.0,10.0,10.0
13139001102,0.0,0.0,16.0,0.0,0.0,69.0,25.0,0.0,1,331318 331316,16.0,16.0,94.0,94.0
13139001201,0.0,1.0,11.0,0.0,1.0,73.0,21.0,0.0,2,336212 326191,12.0,6.0,95.0,47.5
13139001403,0.0,0.0,4.0,0.0,0.0,2.0,7.0,0.0,1,323111 32311 323112 999999 323110,4.0,4.0,9.0,9.0
13143010200,26.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1,221310,26.0,26.0,20.0,20.0
13143010302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13143010400,1.0,1.0,14.0,0.0,8.0,126.0,16.0,0.0,2,336390 336399 336999 486910,16.0,8.0,150.0,75.0
13145120198,71.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1,924110,71.0,71.0,23.0,23.0
13145120401,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,2,486210 48621 999999,0.0,0.0,62.0,31.0
13147960400,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,2,999999 486210,0.0,0.0,30.0,15.0
13147960500,0.0,1.0,0.0,0.0,0.0,93.0,0.0,0.0,1,221112,1.0,1.0,93.0,93.0
13149970100,1.0,2.0,9.0,0.0,1.0,189.0,7.0,0.0,4,221112 221112 999999 332812 325510 336390,12.0,3.0,197.0,49.25
13149970200,4.0,2.0,1.0,0.0,3.0,364.0,4.0,0.0,4,221112 22111 221112 423320 999999 326199 221112 221112,7.0,1.75,371.0,92.75
13151070106,82.0,0.0,0.0,0.0,58.0,54.0,0.0,0.0,3,221320 999999 486210 48621 221320,82.0,27.333333333333332,112.0,37.333333333333336
13151070113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13151070304,0.0,0.0,0.0,0.0,10.0,38.0,3.0,0.0,1,333112,0.0,0.0,51.0,51.0
13151070306,0.0,1.0,0.0,0.0,0.0,60.0,4.0,0.0,1,323111,1.0,1.0,64.0,64.0
13151070307,42.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1,nan,42.0,42.0,19.0,19.0
13151070404,56.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2,221320 311941 323111 325612 311412 446130,56.0,28.0,5.0,2.5
13151070501,9.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1,nan,9.0,9.0,17.0,17.0
13153020400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,999999,0.0,0.0,0.0,0.0
13153020600,194.0,1.0,55.0,0.0,46.0,186.0,60.0,10.0,2,928110 221112 48811 332813 336411 nan,250.0,125.0,302.0,151.0
13153021105,144.0,8.0,14.0,0.0,19.0,56.0,21.0,0.0,2,327213 22132,166.0,83.0,96.0,48.0
13153021202,37.0,6.0,0.0,0.0,8.0,64.0,0.0,0.0,1,321113 321114,43.0,43.0,72.0,72.0
13153021300,15.0,1.0,0.0,0.0,32.0,73.0,2.0,0.0,3,327211 999999 326199 32619 322212,16.0,5.333333333333333,107.0,35.666666666666664
13153021400,186.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,3,999999 999999 nan,186.0,62.0,20.0,6.666666666666667
13153021500,16.0,9.0,0.0,0.0,4.0,311.0,4.0,5.0,5,221112 22111 562212 221117 221118 327310 327310,25.0,5.0,324.0,64.8
13157010101,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,326199 999999,0.0,0.0,2.0,2.0
13157010102,4.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1,nan,4.0,4.0,20.0,20.0
13157010200,0.0,9.0,0.0,0.0,1.0,73.0,1.0,0.0,2,336390 336391 336390 333415 336391 33639,9.0,4.5,75.0,37.5
13157010300,69.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,2,nan 335911 335991,69.0,34.5,24.0,12.0
13157010400,0.0,4.0,0.0,0.0,0.0,113.0,0.0,0.0,2,321219 326191,4.0,2.0,113.0,56.5
13157010500,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,1,221112,0.0,0.0,63.0,63.0
13157010600,63.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2,nan 999999,63.0,31.5,19.0,9.5
13157010702,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,1,326140,0.0,0.0,53.0,53.0
13159010500,1.0,4.0,0.0,0.0,1.0,146.0,1.0,0.0,1,321219 321113 321212 321999,5.0,5.0,148.0,148.0
13161960100,10.0,5.0,0.0,0.0,18.0,27.0,0.0,0.0,2,nan 321999 321219,15.0,7.5,45.0,22.5
13161960200,3.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,1,321918 321113,7.0,7.0,10.0,10.0
