FAC_DERIVED_CB2010,CWA Violations,CAA Violations,RCRA Violations,SDWA Violations,CWA Inspections,CAA Inspections,RCRA Inspections,SDWA Inspections,Facilities,FAC_NAICS_CODES,Total Violations Since 2001,Violations Per Facility Since 2001,Total Inspections Since 2001,Inspections Per Facility Since 2001
01123962200,20.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1,221320,20.0,20.0,32.0,32.0
01123962300,14.0,0.0,17.0,0.0,35.0,53.0,6.0,0.0,2,337110 22132,31.0,15.5,94.0,47.0
01123962700,8.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,1,562212,8.0,8.0,33.0,33.0
01125010103,0.0,1.0,7.0,0.0,7.0,51.0,20.0,0.0,2,321114 486210,8.0,4.0,78.0,39.0
01125010301,4.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,1,562212,4.0,4.0,38.0,38.0
01125010302,0.0,0.0,5.0,0.0,6.0,29.0,7.0,0.0,1,325222 325220 325221,5.0,5.0,42.0,42.0
01125010404,256.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1,22132,256.0,256.0,27.0,27.0
01125010500,2.0,3.0,3.0,0.0,29.0,60.0,10.0,0.0,2,324199 42352 324122,8.0,4.0,99.0,49.5
01125010601,61.0,2.0,0.0,0.0,31.0,149.0,0.0,0.0,3,nan 211111 211130 486210,63.0,21.0,180.0,60.0
01125010701,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2,325211 325194 325191 321113 321,0.0,0.0,11.0,5.5
01125010703,27.0,2.0,13.0,0.0,24.0,117.0,13.0,0.0,2,336111 236210 336211 336112 321113 237990 236220,42.0,21.0,154.0,77.0
01125011600,27.0,0.0,0.0,0.0,8.0,43.0,0.0,0.0,1,324122,27.0,27.0,51.0,51.0
01125011800,0.0,0.0,0.0,0.0,6.0,47.0,0.0,0.0,1,324122 562212 236210 313230,0.0,0.0,53.0,53.0
01125012303,0.0,0.0,3.0,0.0,7.0,7.0,1.0,0.0,1,334613,3.0,3.0,15.0,15.0
01125012403,119.0,0.0,8.0,0.0,40.0,43.0,2.0,0.0,2,313310 313210 314999 332618 221320,127.0,63.5,85.0,42.5
01125012501,54.0,1.0,0.0,0.0,2.0,41.0,0.0,0.0,1,326211 32621,55.0,55.0,43.0,43.0
01125012600,13.0,2.0,2.0,0.0,22.0,50.0,7.0,0.0,1,331110 237990 33111 331112 331111,17.0,17.0,79.0,79.0
01127020100,0.0,0.0,0.0,0.0,7.0,49.0,0.0,0.0,1,321113 562212,0.0,0.0,56.0,56.0
01127020200,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2,311119 321113,0.0,0.0,3.0,1.5
01127020400,279.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1,221320 22132,279.0,279.0,25.0,25.0
01127021100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,337122,0.0,0.0,1.0,1.0
01127021400,1.0,1.0,0.0,0.0,25.0,42.0,1.0,0.0,1,221112 237130 237990 22111,2.0,2.0,68.0,68.0
01127021700,8.0,1.0,0.0,0.0,3.0,38.0,0.0,0.0,1,562212 212321,9.0,9.0,41.0,41.0
01129044000,0.0,5.0,0.0,0.0,0.0,49.0,0.0,0.0,1,211130 211112 237990 21113 211111,5.0,5.0,49.0,49.0
01129044100,20.0,1.0,0.0,0.0,20.0,43.0,0.0,0.0,1,221112 221121,21.0,21.0,63.0,63.0
01129044200,33.0,19.0,52.0,0.0,80.0,346.0,115.0,11.0,8,325199 325320 325211 325998 325110 325192 32532 221112 325211 325180 325181 32519 325199 32518 238910 325188 221112 22112 562212 486210 331110 331111 327320,104.0,13.0,552.0,69.0
01131035100,4.0,5.0,0.0,0.0,27.0,114.0,0.0,0.0,3,321113 322121 322130 321113 321212 322121 321999 322130,9.0,3.0,141.0,47.0
01133965501,0.0,2.0,0.0,0.0,1.0,44.0,1.0,0.0,1,321113 321999,2.0,2.0,46.0,46.0
01133965502,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,2,337122 321999 337122,1.0,0.5,32.0,16.0
01133965503,0.0,1.0,0.0,0.0,4.0,33.0,0.0,0.0,1,337122,1.0,1.0,37.0,37.0
01133965600,0.0,3.0,0.0,0.0,0.0,65.0,0.0,0.0,2,337122 326199,3.0,1.5,65.0,32.5
01133965800,0.0,0.0,0.0,0.0,2.0,48.0,0.0,0.0,2,337122 336212,0.0,0.0,50.0,25.0
02013000100,83.0,9.0,0.0,14.0,26.0,139.0,1.0,4.0,3,311710 311712 31171 311225 311710 311712 31171 311710 311712 311711 31171,106.0,35.333333333333336,170.0,56.666666666666664
02016000100,196.0,11.0,0.0,3.0,3.0,101.0,4.0,3.0,2,928110 488190 221112 92811 48811 221320 221112 48811,210.0,105.0,111.0,55.5
02016000200,937.0,20.0,0.0,0.0,53.0,264.0,0.0,0.0,9,311710 311712 31171 311710 49312 311712 31171 312113 311711 nan 311710 nan 999999 221320 221112 311710 311712 31171,957.0,106.33333333333333,317.0,35.22222222222222
02020000300,13.0,9.0,1.0,0.0,24.0,48.0,2.0,0.0,3,221320 562212 921190,23.0,7.666666666666667,74.0,24.666666666666668
02020000400,0.0,8.0,44.0,0.0,13.0,196.0,63.0,12.0,2,928110 92811 48811 221112 562112 562212 237310 531110 221122 921190 721110 221310 928110 999999,52.0,26.0,284.0,142.0
02020000500,0.0,7.0,1.0,0.0,3.0,97.0,2.0,0.0,2,424710 42471 42271 326140,8.0,4.0,102.0,51.0
02020000600,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,1,221112,0.0,0.0,47.0,47.0
02020000703,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,1,221112 22111,0.0,0.0,49.0,49.0
02020001602,1.0,3.0,0.0,0.0,1.0,70.0,0.0,0.0,1,622110 48811,4.0,4.0,71.0,71.0
02020001900,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,3,237310 211111 211111,1.0,0.3333333333333333,30.0,10.0
02020002301,5.0,3.0,0.0,0.0,20.0,44.0,0.0,0.0,1,221320 22132,8.0,8.0,64.0,64.0
02020002501,0.0,6.0,2.0,0.0,0.0,50.0,1.0,0.0,1,221112 22112,8.0,8.0,51.0,51.0
02020002502,0.0,0.0,0.0,0.0,2.0,241.0,0.0,0.0,1,237310 212321,0.0,0.0,243.0,243.0
02020002712,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,1,237310 212319 23731 324121,0.0,0.0,208.0,208.0
02020002900,74.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1,nan,74.0,74.0,8.0,8.0
02050000200,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,1,221112 22111 221122,0.0,0.0,47.0,47.0
02050000300,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,1,212221,1.0,1.0,12.0,12.0
02060000100,0.0,4.0,0.0,0.0,0.0,64.0,0.0,0.0,1,221112,4.0,4.0,64.0,64.0
02068000100,56.0,10.0,8.0,0.0,18.0,125.0,12.0,6.0,3,221112 221122 212111 928110 221112 482112 92811,74.0,24.666666666666668,161.0,53.666666666666664
02070000200,0.0,6.0,0.0,0.0,0.0,56.0,0.0,0.0,2,221122 48811 237310,6.0,3.0,56.0,28.0
02090000200,24.0,6.0,0.0,0.0,9.0,47.0,0.0,0.0,1,221122 221112,30.0,30.0,56.0,56.0
02090000500,0.0,1.0,7.0,0.0,0.0,47.0,3.0,0.0,1,221112,8.0,8.0,50.0,50.0
02090001000,117.0,1.0,1.0,0.0,20.0,23.0,4.0,0.0,2,562212 562112 221320 22132 562,119.0,59.5,47.0,23.5
02090001100,0.0,10.0,25.0,0.0,4.0,83.0,30.0,5.0,1,928110 48811 562212 221330 333913 221122 221112 221310,35.0,35.0,122.0,122.0
02090001300,0.0,4.0,17.0,3.0,0.0,48.0,7.0,3.0,1,611310 61131,24.0,24.0,58.0,58.0
02090001600,0.0,2.0,0.0,0.0,0.0,47.0,0.0,0.0,1,221112,2.0,2.0,47.0,47.0
02090001700,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,1,486110 48611,0.0,0.0,13.0,13.0
02090001800,112.0,6.0,16.0,0.0,9.0,49.0,17.0,10.0,1,928110 48811 333913 562212 92811 562112,134.0,134.0,85.0,85.0
02090001900,6.0,3.0,0.0,0.0,8.0,60.0,1.0,3.0,1,212221 21222,9.0,9.0,72.0,72.0
02100000100,33.0,3.0,0.0,0.0,8.0,49.0,0.0,0.0,2,221320 221122,36.0,18.0,57.0,28.5
02105000300,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,1,221112,1.0,1.0,45.0,45.0
02110000100,114.0,4.0,3.0,0.0,25.0,103.0,2.0,0.0,2,221122 212221,121.0,60.5,130.0,65.0
02110000300,380.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1,221320,380.0,380.0,13.0,13.0
02110000400,0.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,1,221122,1.0,1.0,48.0,48.0
02110000500,168.0,5.0,0.0,0.0,21.0,19.0,0.0,0.0,2,562213 221320 221112,173.0,86.5,40.0,20.0
02110000600,8.0,9.0,0.0,7.0,12.0,49.0,3.0,6.0,1,212230 212231 212221 212222 488310 212299,24.0,24.0,70.0,70.0
02122000100,124.0,49.0,1.0,1.0,52.0,839.0,4.0,26.0,18,211120 211111 211130 211120 211111 211120 211111 211120 211111 211120 211111 211130 211120 211111 221112 211120 211120 213111 211111 211130 211111 211120 213111 211111 211120 21112 211130 211120 211111 211120 211111 211120 211111 211120 211111 21112 48811 211111 211120 48621 48611 213112 211120 211111 48811 486110 211111 211120,175.0,9.722222222222221,921.0,51.166666666666664
02122000200,127.0,116.0,18.0,0.0,48.0,623.0,28.0,0.0,13,221210 211112 211130 21113 424710 324110 42471 211120 211111 324110 332813 32411 221112 81131 81149 325311 211120 211111 211111 211120 22121 21111 211111 211120 424710 48611 48621 221112 221119 22112 211120 211111 211130 213112 211111,261.0,20.076923076923077,699.0,53.76923076923077
02122000400,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1,221112,0.0,0.0,25.0,25.0
02122000500,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1,nan,4.0,4.0,8.0,8.0
02122000600,18.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1,nan,18.0,18.0,8.0,8.0
02122000700,0.0,4.0,2.0,0.0,0.0,99.0,1.0,0.0,1,211120 211111 213112 211130,6.0,6.0,100.0,100.0
02122001000,67.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1,221320,67.0,67.0,9.0,9.0
02122001300,152.0,0.0,1.0,0.0,42.0,0.0,2.0,4.0,3,311712 311710 311711 221320 336611 713930,153.0,51.0,48.0,16.0
02130000200,74.0,4.0,0.0,0.0,11.0,92.0,0.0,0.0,3,221112 562212 221320 237310,78.0,26.0,103.0,34.333333333333336
02130000300,0.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,2,311710 31171 311712 311710 31171 311711 311712,0.0,0.0,26.0,13.0
02150000200,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1,221320,6.0,6.0,9.0,9.0
02150000300,128.0,0.0,0.0,0.0,35.0,35.0,1.0,0.0,4,311712 311710 31171 311712 31171 311710 311712 311711 31171,128.0,32.0,71.0,17.75
02150000400,105.0,0.0,0.0,0.0,18.0,47.0,0.0,0.0,2,221112 311712 31171 311711 311710,105.0,52.5,65.0,32.5
02150000500,154.0,0.0,32.0,3.0,11.0,55.0,31.0,4.0,2,221112 928110 92811 221320 922190 926120 92219,189.0,94.5,101.0,50.5
02170000502,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,1,221210,3.0,3.0,46.0,46.0
02170001201,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,1,237310,1.0,1.0,41.0,41.0
02170001300,0.0,0.0,3.0,0.0,2.0,31.0,1.0,0.0,1,221112 237130,3.0,3.0,34.0,34.0
02180000200,4.0,1.0,5.0,0.0,13.0,74.0,4.0,0.0,2,212221 238910 213114 221112,10.0,5.0,91.0,45.5
02185000100,0.0,0.0,0.0,0.0,0.0,45.0,0.0,5.0,1,221112,0.0,0.0,50.0,50.0
02185000200,31.0,18.0,5.0,0.0,11.0,338.0,21.0,4.0,10,486110 221320 48611 221112 221112 211111 221112 486110 213112 211130 48811 211111 221320 211120 237120 21113 221112 486110 48611 211111 211120 48811 48611,54.0,5.4,374.0,37.4
02185000300,91.0,103.0,30.0,1.0,79.0,2481.0,83.0,22.0,22,211120 211111 213112 21111 211130 211120 211111 211111 211120 213112 213111 486110 211120 211111 211120 211111 486110 48611 211120 211111 21111 211111 211120 213112 213111 21112 221122 221112 211111 211120 48611 48811 211120 211111 48811 213111 32411 221320 211111 211120 48611 21111 486210 48811 211120 211111 211111 211120 211120 211111 211120 211111 211120 211111 211120 211111 48811 213112 221320 21111 221112 211120 211111 211120 211120,225.0,10.227272727272727,2665.0,121.13636363636364
02188000100,122.0,30.0,0.0,0.0,28.0,132.0,2.0,7.0,2,212230 212231 212299 48811 212231 493190,152.0,76.0,169.0,84.5
02188000200,0.0,3.0,0.0,0.0,0.0,44.0,0.0,0.0,1,221112 33591,3.0,3.0,44.0,44.0
02195000200,14.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,5,nan 311710 nan 311710 31171 311712 311710,14.0,2.8,34.0,6.8
02220000100,0.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,1,221112,2.0,2.0,34.0,34.0
02220000200,42.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,3,311712 31171 221320 nan,42.0,14.0,24.0,8.0
02230000100,253.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1,221320,253.0,253.0,10.0,10.0
02240000100,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1,221112,0.0,0.0,48.0,48.0
02240000400,148.0,9.0,3.0,0.0,26.0,350.0,24.0,15.0,5,212221 48811 221122 221330 48611 486110 486110 48611 928110 92811 221330 221112 221310 56121 811118 221122 48811 562112,160.0,32.0,415.0,83.0
02261000100,0.0,3.0,0.0,0.0,0.0,86.0,0.0,0.0,2,221112 22111 611310 54171,3.0,1.5,86.0,43.0
02261000200,185.0,2.0,0.0,0.0,40.0,51.0,0.0,0.0,5,311712 221320 221112 311712 31171 311711 31171,187.0,37.4,91.0,18.2
02261000300,64.0,7.0,13.0,0.0,56.0,188.0,13.0,0.0,8,221112 311712 311711 221320 311712 221112 324110 32411 488320 48611 486110 311711 311712 31171,84.0,10.5,257.0,32.125
02275000300,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1,nan,9.0,9.0,6.0,6.0
